Customer_ID,Age,Income,Loan_Amount,Credit_Score,Loan_Term(months),Default_Status(Yes/No)
CUST00001,58,49184,18112,581,48,Yes
CUST00002,65,46868,359785,389,240,Yes
CUST00003,45,28331,20622,395,48,Yes
CUST00004,32,152475,320631,327,180,Yes
CUST00005,30,190363,372696,729,48,No
CUST00006,35,21703,402833,463,84,Yes
CUST00007,39,92842,86516,520,72,Yes
CUST00008,42,45353,193208,652,240,Yes
CUST00009,20,140435,286137,427,84,Yes
CUST00010,23,164714,158709,670,240,No
CUST00011,22,32012,351692,533,60,Yes
CUST00012,23,81024,459286,403,84,Yes
CUST00013,35,138858,338281,673,36,No
CUST00014,31,195682,144973,373,240,No
CUST00015,52,84175,90669,773,84,No
CUST00016,58,166001,120141,632,12,No
CUST00017,20,102694,215325,574,24,Yes
CUST00018,31,168682,464469,622,48,No
CUST00019,43,188519,245570,446,60,Yes
CUST00020,65,167159,287579,569,240,Yes
CUST00021,55,124700,194790,524,36,No
CUST00022,23,32351,456465,412,36,Yes
CUST00023,58,61938,420277,732,240,Yes
CUST00024,42,176208,250392,841,60,No
CUST00025,18,198332,382865,417,360,No
CUST00026,66,89946,407967,648,24,Yes
CUST00027,28,138940,6701,569,180,No
CUST00028,50,47894,461402,605,360,No
CUST00029,30,60065,201038,465,180,Yes
CUST00030,67,159029,486555,300,240,Yes
CUST00031,38,148085,15211,414,72,No
CUST00032,69,100612,130541,359,48,No
CUST00033,23,42453,388730,797,24,No
CUST00034,52,52967,72314,786,180,No
CUST00035,51,179014,226846,516,180,No
CUST00036,62,72730,378790,619,84,No
CUST00037,59,117889,234690,829,120,No
CUST00038,32,36784,182254,321,240,Yes
CUST00039,53,80323,313512,525,12,Yes
CUST00040,22,185439,35866,534,24,No
CUST00041,39,38574,274565,543,60,Yes
CUST00042,60,147248,117321,435,240,No
CUST00043,33,143987,428360,716,48,No
CUST00044,60,132997,190753,733,84,No
CUST00045,64,34200,358036,400,12,Yes
CUST00046,43,108946,424741,411,48,Yes
CUST00047,30,69862,286168,759,36,Yes
CUST00048,35,141275,135970,377,120,No
CUST00049,53,45666,31522,315,24,No
CUST00050,33,63597,218078,797,120,Yes
CUST00051,43,35370,91317,688,12,No
CUST00052,34,139277,154552,733,180,No
CUST00053,49,60579,104561,603,48,No
CUST00054,55,162133,36959,621,12,Yes
CUST00055,48,151819,487023,843,36,Yes
CUST00056,50,41000,451348,490,24,Yes
CUST00057,56,37815,359005,540,84,Yes
CUST00058,25,169336,134087,340,240,Yes
CUST00059,60,173006,301341,835,72,No
CUST00060,31,195564,380490,621,48,No
CUST00061,26,196079,343428,607,120,No
CUST00062,66,39016,9883,769,240,No
CUST00063,24,39204,286875,518,180,Yes
CUST00064,34,54722,494296,657,24,No
CUST00065,41,94707,87704,748,180,No
CUST00066,57,191435,282317,308,360,No
CUST00067,37,193903,59309,437,60,Yes
CUST00068,24,165024,86499,578,60,No
CUST00069,63,109884,111743,570,180,Yes
CUST00070,21,44195,337547,733,60,Yes
CUST00071,39,54293,339030,568,36,Yes
CUST00072,65,135824,294239,737,180,Yes
CUST00073,22,59073,291046,336,72,Yes
CUST00074,55,164841,82643,740,36,Yes
CUST00075,41,30458,476295,666,48,Yes
CUST00076,61,85412,354665,405,72,Yes
CUST00077,67,166770,468541,716,240,No
CUST00078,33,62598,424371,481,84,Yes
CUST00079,19,67018,391171,640,84,No
CUST00080,65,85055,144883,463,24,Yes
CUST00081,20,143388,121619,504,120,Yes
CUST00082,70,79662,121876,324,360,Yes
CUST00083,39,93034,458169,371,60,Yes
CUST00084,40,188160,272075,709,360,No
CUST00085,52,106808,497430,328,24,Yes
CUST00086,34,66810,309396,571,12,Yes
CUST00087,24,176387,232836,653,72,No
CUST00088,50,50315,206953,494,60,Yes
CUST00089,20,134309,5886,832,180,No
CUST00090,65,195801,108303,672,84,Yes
CUST00091,60,106559,331712,621,360,No
CUST00092,64,98727,270878,616,360,No
CUST00093,43,97504,295671,430,48,Yes
CUST00094,44,194307,498021,688,360,No
CUST00095,29,181353,303375,608,84,No
CUST00096,18,99658,155425,515,84,No
CUST00097,56,191627,173951,776,120,No
CUST00098,31,154001,253085,473,360,Yes
CUST00099,50,194025,336843,643,24,No
CUST00100,66,81569,357738,617,48,No
CUST00101,27,26402,29229,550,120,Yes
CUST00102,57,39091,243769,724,360,Yes
CUST00103,54,70970,381620,693,120,Yes
CUST00104,27,191981,365512,305,24,No
CUST00105,32,66107,426585,830,120,Yes
CUST00106,33,51813,244317,436,120,Yes
CUST00107,60,159233,298037,624,120,No
CUST00108,64,152324,228735,756,36,No
CUST00109,48,137983,140891,553,360,Yes
CUST00110,67,156655,259068,544,60,Yes
CUST00111,63,94901,127942,578,72,Yes
CUST00112,52,41122,77547,454,48,Yes
CUST00113,27,76086,38674,724,84,No
CUST00114,47,128992,37645,511,84,Yes
CUST00115,67,173112,369654,320,240,Yes
CUST00116,42,145037,8091,660,60,No
CUST00117,44,161091,396913,525,120,Yes
CUST00118,32,91548,233503,797,12,No
CUST00119,60,198032,423456,714,36,No
CUST00120,26,183120,285034,327,84,No
